bibkey,keyword_key,keyword_level
bub_dn:2000,1:psychology,1
bub_dn:2000,2:neuroscience,2
bub_j-demopoulos:1973,1:quantum_mechanics,1
bub_j-etal:1998,1:quantum_mechanics,1
bub_j-pitowsky:2010,1:quantum_mechanics,1
bub_j-pitowsky:2010,2:many_worlds_interpretation,2
bub_j-shiva:1978,1:quantum_mechanics,1
bub_j:1973,1:quantum_mechanics,1
bub_j:1974,1:quantum_mechanics,1
bub_j:1974a,1:quantum_mechanics,1
bub_j:1976,1:probability,1
bub_j:1976a,1:quantum_mechanics,1
bub_j:1977,1:quantum_mechanics,1
bub_j:1977,2:quantum_logic,2
bub_j:1977a,1:quantum_mechanics,1
bub_j:1981,1:quantum_mechanics,1
bub_j:1981,2:quantum_logic,2
bub_j:1989,1:quantum_mechanics,1
bub_j:1994,1:psychology,1
bub_j:1994,2:cognitive_science,2
bub_j:1994a,1:physics,1
bub_j:1996,1:quantum_mechanics,1
bub_j:1996,2:bohmian_mechanics,2
bub_j:1996a,1:quantum_mechanics,1
bub_j:1996a,2:entanglement,2
bub_j:1996a,3:complementarity,3
bub_j:1997,1:quantum_mechanics,1
bub_j:1997a,1:quantum_mechanics,1
bub_j:1998,1:quantum_mechanics,1
bub_j:1998,2:bohmian_mechanics,2
bub_j:2000,1:quantum_mechanics,1
bub_j:2000,2:information_theoretic_interpretation_of_qm,2
bub_j:2001,1:quantum_mechanics,1
bub_j:2003,1:quantum_mechanics,1
bub_j:2003,2:entanglement,2
bub_j:2004,1:quantum_mechanics,1
bub_j:2004,2:information_theoretic_interpretation_of_qm,2
bub_j:2005,1:quantum_mechanics,1
bub_j:2005,2:information_theoretic_interpretation_of_qm,2
bub_j:2005a,1:quantum_mechanics,1
bub_j:2005b,1:time,1
bub_j:2005b,2:time_travel,2
bub_j:2007,1:quantum_mechanics,1
bub_j:2010a,1:quantum_mechanics,1
bub_j:2010a,2:information_theoretic_interpretation_of_qm,2
bub_j:2011,1:quantum_mechanics,1
bub_j:2011,2:probability_in_qm,2
bub_j:2012,1:quantum_mechanics,1
bub_j:2012,2:information_theoretic_interpretation_of_qm,2
bubbio-redding:2012,1:religion,1
bubbio:2009,1:logic,1
bubbio:2009,2:negation,2
bubbio:2012,1:political_philosophy,1
bubbio:2013,1:religion,1
bubbio:2014,1:religion,1
bubbio:2014,2:god,2
bubbio:2014,3:trinity,3
bubbio:2017,1:persons,1
bubbio:2017,2:self,2
bubeck:2000,1:political_philosophy,1
bubeck:2000,2:feminism,2
bubeck:2002,1:persons,1
bubeck:2002,2:gender,2
bubeck:2002,3:biological_sex,3
buben:2013,1:religion,1
buben:2013a,1:time,1
buben:2013a,2:death,2
buber:1954,1:religion,1
buber:1967,1:history_of_philosophy,1
buber:2004,1:religion,1
buber:2004a,1:religion,1
buber:2004a,2:judaism,2
buber:2004b,1:religion,1
buber:2005,1:religion,1
buber:2005,2:judaism,2
buberagassi:1969,1:science,1
buberagassi:1969,2:experimentation,2
buberagassi:1974,1:metaphysics,1
buberagassi:1974,2:perspectivalism,2
buberagassi:1974,3:objectivity_in_representation,3
buberagassi:1995,1:social_philosophy,1
bublitz:2016,1:ethics,1
bublitz:2016,2:transhumanism,2
bubner:1972,1:action,1
bubner:1972,2:reasons_for_action,2
bubner:1974,1:metaphysics,1
bubner:1974,2:transcendental_idealism,2
bubner:1974a,1:method,1
bubner:1974a,2:method_in_of_philosophy,2
bubner:1976,1:explanation,1
bubner:1977,1:science,1
bubner:1977,2:theory_change,2
bubner:1978,1:history_of_philosophy,1
bubner:1979,1:method,1
bubner:1979,2:transcendental_arguments,2
bubner:1981,1:method,1
bubner:1981,2:transcendental_arguments,2
bubner:1982,1:history_of_philosophy,1
bubner:1983,1:social_sciences,1
bubner:1984,1:social_philosophy,1
bubner:1986,1:ethics,1
bubner:1993,1:social_sciences,1
bubner:1996,1:metaphilosophy,1
bubner:1998,1:metaphysics,1
bubner:1998,2:transcendental_idealism,2
bubner:2000,1:ethics,1
bubner:2002,1:social_sciences,1
bubner:2002,2:anthropology,2
bubner:2003,1:metaphysics,1
bubner:2003,2:idealism,2
bubner:2003a,1:rationality,1
bubner:2003a,2:reason_as_a_faculty,2
bubner:2007,1:mathematics,1
bubner:2007,2:infinity,2
bubner:2007a,1:aesthetics,1
bucalo:1994,1:logic,1
bucalo:1994,2:substructural_logics,2
bucalo:1994,3:linear_logic,3
bucar_e-stalnaker:2012,1:ethics,1
bucar_e:2015,1:religion,1
bucar_e:2015,2:islam,2
buccafurri-etal:1998,1:computation,1
buccafurri-etal:1998,2:programming,2
buccafurri-etal:1998,3:disjunctive_logic_programming,3
buccafurri-etal:1999,1:computation,1
buccafurri-etal:1999,2:computational_logic,2
buccafurri-etal:1999,3:model_checking,3
bucciarelli-kroes:2014,1:technology,1
bucciarelli-kroes:2014,2:engineering,2
bucciarelli:2009,1:science,1
buccolini-devaux:1999,1:history_of_philosophy,1
buccolini:2000,1:method,1
buccolini:2017,1:skepticism,1
buceniece:1989,1:social_sciences,1
buceniece:1989,2:anthropology,2
buceniece:1991,2:essence,2
buceniece:1991,3:human_essence,3
buceniece:1998,1:ethics,1
buceniece:2000,1:education,1
buceniece:2004,1:space_spacetime,1
buceniece:2004,2:place,2
buch_h:1961,1:law,1
buch_h:1964,1:law,1
buchak-etal:2019,1:religion,1
buchak-pettit:2015,1:action,1
buchak-pettit:2015,2:collective_action,2
buchak-zimmerman:2022,1:religion,1
buchak:2010,1:epistemology,1
buchak:2013,1:determinism,1
buchak:2013,2:free_will,2
buchak:2014,1:rationality,1
buchak:2014a,1:epistemology,1
