bibkey,keyword_key,keyword_level
ci:1998,1:political_philosophy,1
ci:2011,1:action,1
ci:2015,1:political_philosophy,1
ci:2015,2:democracy,2
ciabattoni-etal:2022,1:logic,1
ciabattoni-genco:2016,1:logic,1
ciabattoni-genco:2016,2:natural_deduction,2
ciabattoni-genco:2016,3:sequent_calculus,3
ciafardone:1982,1:rationality,1
ciafardone:1982,2:practical_rationality,2
ciancio-nocentini:1999,1:epistemology,1
ciapessoni-etal:1994,1:time,1
ciapessoni-etal:1994,2:tense_logic,2
ciappara:2010,1:history_of_philosophy,1
ciaramelli:1998,1:history_of_philosophy,1
ciardelli-etal:2015,1:semantics,1
ciardelli-etal:2015,2:interrogatives,2
ciardelli-roelofsen:2015,1:epistemology,1
ciardelli-roelofsen:2015,2:epistemic_logic,2
ciardelli:2010,1:semantics,1
ciardelli:2010,2:interrogatives,2
ciardelli:2010,3:erotetic_logic,3
ciardelli:2014,1:epistemology,1
ciardelli:2014,2:epistemic_logic,2
ciardelli:2018,1:information,1
ciardelli:2021,1:conditionals,1
ciardelli:2021,2:indicative_conditionals,2
ciardelli:2022,1:semantics,1
ciardelli:2022,2:interrogatives,2
ciardelli:2022,3:erotetic_logic,3
ciaunica_a:2017,1:ethics,1
ciaunica_a:2017,2:conscience,2
ciavatta_d:2007,2:desire,2
cibulka:1996,1:metaphysics,1
cibulka:1999,1:aesthetics,1
cibulka:1999,2:literary_criticism,2
cicalese-mundici:2011,1:logic,1
cicalese-mundici:2011,2:many_valued_logic,2
cicatello:2018,1:representation,1
cicatello:2018,2:concepts,2
cicekli-korkmaz:1998,1:linguistics,1
cicekli-korkmaz:1998,2:logic_for_natural_language,2
cicekli-korkmaz:1998,3:natural_language_programming,3
cicero:1995,1:history_of_philosophy,1
cichetti_a:2019,2:aesthetic_value,2
cichetti_a:2019,3:beauty,3
cichosz:1995,1:ai,1
cichosz:1995,2:machine_learning,2
cicovacki:1990,1:mathematics,1
cicovacki:1990,2:epistemology_of_mathematics,2
cicovacki:1994,1:method,1
cicovacki:1994,2:elenchos,2
cicovacki:1995,1:truth,1
cicovacki:1999,1:truth,1
cicovacki:1999,2:deflationism_about_truth,2
cicovacki:2000,1:history_of_philosophy,1
cicovacki:2000a,1:method,1
cicovacki:2005,1:history_of_philosophy,1
cid_r:2010,1:causation,1
cid_r:2010,2:laws_of_nature,2
cid_r:2010,3:necessitarianism_about_laws,3
cid_r:unpub,2:grounding,2
ciecierski_t:2009,1:representation,1
ciecierski_t:2009,2:meaning,2
ciecierski_t:2009,3:many_propositions,3
ciecierski_t:2010,1:representation,1
ciecierski_t:2010,2:content_determination,2
ciecierski_t:2010,3:content_contextualism,3
ciecierski_t:2017,1:belief,1
ciecierski_t:2017,2:belief_reports,2
cienki:2007,1:linguistics,1
cienki:2007,2:cognitive_linguistics,2
cieslinski:2010,1:mathematics,1
cieslinski:2010a,1:truth,1
cieslinski:2010a,2:deflationism_about_truth,2
cieslinski:2011,1:truth,1
cieslinski:2011,2:tarski_truth,2
cieslinski:2015,1:truth,1
cieslinski:2015a,1:truth,1
cieslinski:2015a,2:disquotationalism,2
cieslinski:2017,1:truth,1
cieslinski:2017,2:deflationism_about_truth,2
cifoletti:1996,1:mathematics,1
cifoletti:1996,2:history_of_mathematics,2
cifoletti:1997,1:mathematics,1
cifoletti:1997,2:history_of_mathematics,2
cifoletti:2005,1:history_of_philosophy,1
cihangir:2013,1:persons,1
cihangir:2013,2:gender,2
cikara-fiske:2014,1:feeling,1
cikara-fiske:2014,2:schadenfreude,2
cimakasky-polansky:2012,1:ethics,1
cimatti_a-etal:1997,1:decision_theory,1
cimatti_a-etal:2003,1:action,1
cimatti_a-etal:2003,2:planning,2
cimatti_a-serafini:1993,1:representation,1
cimatti_a-serafini:1993,2:metarepresentation,2
cimatti_a-serafini:1993,3:reasoning_about_knowledge,3
cimatti_a-serafini:1994,1:representation,1
cimatti_a-serafini:1994,2:metarepresentation,2
cimatti_a-serafini:1994,3:reasoning_about_knowledge,3
cimatti_a-serafini:1995,1:representation,1
cimatti_a-serafini:1995,2:metarepresentation,2
cimatti_a-serafini:1995,3:reasoning_about_knowledge,3
cimatti_a-serafini:1996,1:epistemology,1
cimatti_a-serafini:1996,2:epistemic_logic,2
cimatti_a-serafini:2000,1:pragmatics,1
cimatti_a-serafini:2000,2:context,2
cimatti_f-etal:2016,1:metaphilosophy,1
cimino_a:2013,1:metaphysics,1
cimpian:2010,1:semantics,1
cimpian:2010,2:generics,2
cinaglia_v:2015,1:explanation,1
cinaglia_v:2015,2:understanding,2
cinato_f:2015,1:history_of_philosophy,1
cini_m:1989,1:science,1
cini_m:1989,2:theory_change,2
cini_m:2003,1:quantum_mechanics,1
cini_m:2014,1:time,1
cini_m:2014,2:direction_of_time,2
cinque:1999,1:linguistics,1
cinque:2002,1:linguistics,1
cinque:2004,1:structuralism,1
cinque:2004,2:structure,2
cintula-etal:2009,1:probability,1
ciocan:2014,1:time,1
ciocan:2014,2:death,2
ciocan:2014a,1:metaphysics,1
ciocan:2014a,2:totality,2
cioch:1985,1:ai,1
ciocoiu-nau:2000,1:ontology,1
ciocoiu-nau:2000,2:ai_ontology,2
cioffi:1970,1:social_sciences,1
cioffi:1983,1:aesthetics,1
cioffi:1983,2:fiction,2
cioffi:1985,1:psychology,1
cioffi:1985,2:psychoanalysis,2
cioffi:1992,1:metaphysics,1
cioffi:1992,2:transcendental_idealism,2
ciola_g:2017,1:time,1
ciola_g:2017,2:change,2
ciola_g:2017,3:instant_of_change,3
ciorba:1996,1:logic,1
ciorba:1996,2:nonmonotonic_logic,2
ciorba:1996,3:default_logic,3
ciovacki:1991,1:epistemology,1
ciovacki:1991,2:a_priori,2
cipria-roberts:2000,1:time,1
cipria-roberts:2000,2:tense_aspect,2
ciprotti-moretti:2009,1:modality,1
ciprotti-moretti:2009,2:types_of_necessity,2
ciprotti-piazza:2013,1:truth,1
ciprotti-piazza:2013,2:temporal_truth,2
ciprotti:2006,1:modality,1
ciprotti:2006,2:possible_worlds,2
ciprotti:2012,1:time,1
ciprotti:2012,2:the_future,2
ciprotti:2012,3:fatalism,3
ciprotti:2014,1:modality,1
ciprotti:2014,2:possibilia,2
ciraulo:2013,1:complexity,1
ciraulo:2013,2:atomism,2
cirera-etal:1996,1:science,1
cirera:1993,1:science,1
cirillo_n:2009,1:history_of_philosophy,1
cirulis:1975,1:logic,1
cisar:1924,1:space_spacetime,1
cisar:1924a,1:space_spacetime,1
cisek_p:2019,1:biology,1
ciskowski:2001,1:psychology,1
ciskowski:2001,2:cognitive_science,2
ciskowski:2001,3:connectionism,3
ciskowski:2003,1:pragmatics,1
ciskowski:2003,2:context,2
citron_g:2014,1:religion,1
citron_g:2014,2:faith,2
citronimarchetti:1992,1:history_of_philosophy,1
citronimarchetti:1994,1:social_sciences,1
citronimarchetti:1994,2:anthropology,2
ciulla:1999,1:ethics,1
ciulla:1999,2:business_ethics,2
ciuni-etal:2013,1:time,1
ciuni-etal:2013,2:presentism,2
ciuni-etal:2014,1:logic,1
ciuni-lorini:2018,1:action,1
ciuni-lorini:2018,2:action_formalisms,2
ciuni-lorini:2018,3:stit,3
ciuni-proietti:2013,1:time,1
ciuni-proietti:2013,2:the_future,2
ciuni-proietti:2013,3:open_future,3
ciuni-torrengo:2013,1:time,1
ciuni-torrengo:2013,2:presentism,2
ciuni-torrengo:2013a,1:time,1
ciuni-torrengo:2013a,2:tense_logic,2
ciuni:2009,2:grounding,2
ciuni:2010,1:determinism,1
ciuni:2010,2:free_action,2
ciuni:2010,3:free_choice,3
ciuni:2015,1:logic,1
ciuni:2015,2:paraconsistent_logic,2
ciurria:2014,1:ethics,1
ciurria:2014,2:virtue_ethics,2
cixous:1989,1:aesthetics,1
cixous:1989,2:literary_criticism,2
cizek:2000,1:aesthetics,1
cizewski:1992,1:biology,1
cizewski:1992,2:biology_as_science,2
cizewski:1992,3:zoology,3
