bibkey,keyword_key,keyword_level
claassen_a:2007,1:social_sciences,1
claassen_em:1967,1:economics,1
claassen_r:2012,1:political_philosophy,1
claassen_r:2014,1:economics,1
claassen_r:2017,1:economics,1
claassen_r:2017,2:finance,2
claassen_r:2018,1:social_philosophy,1
claassen_r:2018,2:well_being,2
clack_be:1999,1:political_philosophy,1
clack_be:1999,2:feminism,2
clack_be:2008,1:religion,1
clack_be:2012,1:psychology,1
clack_be:2012,2:psychoanalysis,2
clack_be:2013,1:religion,1
clack_be:2013,2:theism,2
clack_be:2015,1:reference,1
clack_be:2017,1:political_philosophy,1
clack_be:2017,2:feminism,2
cladis:2005,1:social_sciences,1
cladis:2005,2:sociology,2
claesges-held:1972,1:history_of_philosophy,1
claesges:1964,1:space_spacetime,1
claesges:1971,2:intentionality,2
claesges:1972,2:intentionality,2
claesges:1972a,1:social_philosophy,1
claesges:1972a,2:life_world,2
claessens:2012,1:complexity,1
claessens:2012,2:material_constitution,2
claessens:2012,3:stuff,3
claeys:1984,1:political_philosophy,1
claeys:1984,2:justice,2
claeys:1991,1:economics,1
claeys:2013,1:political_philosophy,1
claeys:2013,2:authority,2
claeys:2013,3:paternalism,3
clagett:1959,1:science,1
clagett:1959,2:history_of_science,2
clagett:1969,1:science,1
clagett:1969,2:history_of_science,2
clancey-soloway:1990,1:ai,1
clancey-soloway:1990,2:human_computer_interaction,2
clancey-soloway:1990,3:intelligent_tutoring,3
clancey-weld:1996,1:language,1
clancey-weld:1996,2:language_learning,2
clancey:1983,1:explanation,1
clancey:1985,1:information,1
clancey:1985,2:knowledge_representation,2
clancey:1985a,1:psychology,1
clancey:1985a,2:cognitive_science,2
clancey:1985a,3:cognitive_semantics,3
clancey:1992,1:ai,1
clancey:1992,2:machine_reasoning,2
clancey:1992,3:expert_systems,3
clancey:1993,1:information,1
clancey:1993,2:knowledge_representation,2
clancey:1993a,1:information,1
clancy_g:2004,1:aesthetics,1
clancy_p:1972,1:linguistics,1
clancy_p:1972,2:dialogue,2
clancy_p:1972,3:conversation_analysis,3
clancy_s:2013,1:determinism,1
clancy_s:2013,2:free_action,2
clancy_s:2016,1:action,1
clancy_s:2016,2:responsibility,2
claparede:1905,1:history_of_philosophy,1
claparede:1905a,1:psychology,1
claparede:1925,2:will,2
claparede:1930,1:feeling,1
claparede:1930,2:emotions,2
claparede:1995,1:political_philosophy,1
claparede:1995,2:anerkennung,2
clapham_a:2007,1:political_philosophy,1
clapham_a:2007,2:rights,2
clapham_a:2007,3:human_rights,3
clapham_a:2015,1:political_philosophy,1
clapham_a:2015,2:rights,2
clapham_a:2015,3:human_rights,3
clapin:1991,1:psychology,1
clapin:1991,2:cognitive_science,2
clapin:1991,3:connectionism,3
clapin:1997,1:persons,1
clapin:1997,2:personal_identity,2
clapin:1997,3:parfit,3
clapin:2002,1:representation,1
clapin:2002,2:mental_representation,2
clapin:2002a,1:representation,1
clapin:2002b,1:representation,1
clapp-stainton:2002,1:representation,1
clapp-stainton:2002,2:objects_of_propositional_attitudes,2
clapp-stainton:2002,3:objects_of_belief,3
clapp:1995,1:representation,1
clapp:1995,2:propositional_attitudes,2
clapp:2000,1:belief,1
clapp:2000,2:belief_reports,2
clapp:2001,2:functionalism,2
clapp:2001,3:functionalism_in_the_philosophy_of_mind,3
clapp:2002a,1:causation,1
clapp:2002a,2:laws_of_nature,2
clapp:2002b,1:representation,1
clapp:2002b,2:content,2
clapp:2002b,3:unarticulated_constituents,3
clapp:2005,1:pragmatics,1
clapp:2005,2:assertion,2
clapp:2007,1:rationality,1
clapp:2007,2:disagreement,2
clapp:2009,1:reference,1
clapp:2009,2:names,2
clapp:2009a,1:representation,1
clapp:2009a,2:content_determination,2
clapp:2009a,3:content_contextualism,3
clapp:2010,1:representation,1
clapp:2010,2:content_determination,2
clapp:2010,3:content_contextualism,3
clapp:2012,2:cognition,2
clapp:2012,3:thinking,3
clapp:2012a,1:perception,1
clapp:2012a,2:colours,2
clapp:2012a,3:colour_words,3
clapp:2013,1:semantics,1
clapp:2013,2:interrogatives,2
clapp:2015,1:rationality,1
clapp:2015,2:disagreement,2
clapp:2017,1:pragmatics,1
clapp:2017,2:presupposition,2
clapp:2020,1:pragmatics,1
clapp:2020,2:assertion,2
claridge_c:2019,1:pragmatics,1
claridge_c:2019,2:lying,2
claridge_g:1981,2:desire,2
claridge_g:1981,3:arousal,3
claridge_mf:2010,1:biology,1
claridge_mf:2010,2:taxa_natural_kinds,2
clark_aj:1984,1:epistemology,1
clark_aj:1984,2:metaepistemology,2
clark_aj:1984,3:evolutionary_epistemology,3
clark_aj:1985,1:metaphysics,1
clark_aj:1985,2:realism,2
clark_al-lappin:2012,1:ai,1
clark_al-lappin:2012,2:machine_learning,2
clark_al:2000,1:ai,1
clark_al:2000,2:machine_learning,2
clark_al:2000,3:machine_language_learning,3
clark_an-etal:1996,1:psychology,1
clark_an-etal:1996,2:cognitive_science,2
clark_an-etal:2013,2:will,2
clark_an-etal:2013a,2:will,2
clark_an-karmiloffsmith:1994,2:cognition,2
clark_an-karmiloffsmith:1994,3:thinking,3
clark_an-lutz:1992,1:psychology,1
clark_an-lutz:1992,2:cognitive_science,2
clark_an-lutz:1992,3:connectionism,3
clark_an-millican:1996,1:psychology,1
clark_an-millican:1996,2:cognitive_science,2
clark_an-millican:1996,3:connectionism,3
clark_an-thornton:1997,1:psychology,1
clark_an-toribio:1986,1:action,1
clark_an-toribio:1986,2:action_formalisms,2
clark_an-toribio:1986,3:reasoning_about_uncertainty,3
clark_an-toribio:1988,1:action,1
clark_an-toribio:1988,2:action_formalisms,2
clark_an-toribio:1988,3:reasoning_about_uncertainty,3
clark_an-toribio:1989,1:action,1
clark_an-toribio:1989,2:action_formalisms,2
clark_an-toribio:1989,3:reasoning_about_uncertainty,3
clark_an-toribio:1994,1:representation,1
clark_an-toribio:1998,1:psychology,1
clark_an-toribio:1998,2:cognitive_science,2
clark_an-toribio:1998a,1:ai,1
clark_an-toribio:1998a,2:machine_learning,2
clark_an-toribio:1998b,1:psychology,1
clark_an-toribio:1998b,2:cognitive_science,2
clark_an-toribio:1998c,1:psychology,1
clark_an-toribio:1998c,2:cognitive_science,2
clark_an-toribio:1998d,1:psychology,1
clark_an-toribio:1998d,2:cognitive_science,2
clark_an:1980,2:reduction,2
clark_an:1985,1:perception,1
clark_an:1985,2:phenomenal_properties,2
clark_an:1985,3:qualia,3
clark_an:1985a,1:perception,1
clark_an:1985a,2:phenomenal_properties,2
clark_an:1985a,3:qualia,3
clark_an:1985b,1:perception,1
clark_an:1985b,2:phenomenal_properties,2
clark_an:1985b,3:inverted_spectrum,3
clark_an:1986,1:biology,1
clark_an:1986a,2:functionalism,2
clark_an:1986a,3:functionalism_in_the_philosophy_of_mind,3
clark_an:1987,1:computation,1
clark_an:1987a,1:psychology,1
clark_an:1987a,2:folk_psychology,2
clark_an:1988,1:representation,1
clark_an:1988,2:meaning,2
clark_an:1989,2:cognition,2
clark_an:1989,3:thinking,3
clark_an:1989a,1:mind_body,1
clark_an:1989a,2:eliminative_materialism,2
clark_an:1989b,1:psychology,1
clark_an:1989b,2:cognitive_science,2
clark_an:1989b,3:connectionism,3
