bibkey,keyword_key,keyword_level
drabble_b:1993,1:action,1
drabble_b:1993,2:planning,2
drabble_m:2000,1:aesthetics,1
drabble_m:2000,2:literary_criticism,2
drabble_m:2005,1:aesthetics,1
drabble_m:2005,2:literary_criticism,2
drabkin:1959,1:method,1
drabkin:1959,2:scientific_method,2
drachman:1975,1:linguistics,1
drachman:1975,2:syntax,2
draeseke:1920,1:epistemology,1
draeseke:1920,2:cogito,2
dragalin:1973,1:mathematics,1
dragalin:1973,2:intuitionistic_mathematics,2
dragalin:1987,1:logic,1
dragalin:1987,2:in_completeness,2
dragalin:1987a,1:logic,1
dragalin:1987a,2:intuitionistic_logic,2
dragalin:1988,1:mathematics,1
dragalin:1988,2:intuitionistic_mathematics,2
draghilorenz:2010,1:feeling,1
draghilorenz:2010,2:envy,2
draghilorenz:2010,3:jealousy,3
drago:1999,1:science,1
drago:1999,2:sociology_of_science,2
drago:2017,1:logic,1
drago:2017,2:negation,2
drago:2017,3:square_of_opposition,3
dragonamonachou:1994,1:religion,1
dragonamonachou:1994,2:theological_determinism,2
dragonamonachou:1994,3:divine_foreknowledge,3
dragonamonachou:2004,1:political_philosophy,1
dragulinescu:2012,1:causation,1
dragulinescu:2012,2:singular_causation,2
dragulinescu:2012a,1:truth,1
dragulinescu:2012a,2:truthmakers,2
dragulinescu:2013,1:causation,1
dragulinescu:2013,2:natural_kinds,2
dragulinescu:2017,1:causation,1
dragulinescu:2017,2:causal_explanation,2
dragulinescu:2017,3:mechanistic_explanation,3
dragulinescu:2019,1:ethics,1
dragulinescu:2019,2:medical_ethics,2
drahos:1996,1:economics,1
drahos:1996,2:property,2
drahos:1996,3:intellectual_property,3
drai:2000,2:supervenience,2
drai:2000,3:moral_supervenience,3
drai:2003,2:extrinsic_entities,2
drai:2007,1:properties,1
drai:2007,2:primary_secondary_qualities,2
drai:2007,3:response_dependence,3
drai:2016,1:feeling,1
drai:2016,2:friendship,2
drai:2016,3:love,3
drai:2017,1:exemplification,1
drai:2017,2:states_of_affairs,2
drake_d:1911,1:perception,1
drake_d:1911,2:direct_realism,2
drake_d:1911,3:new_realism_in_perception,3
drake_d:1912,1:perception,1
drake_d:1912,2:object_of_perception,2
drake_d:1915,1:perception,1
drake_d:1915,2:object_of_perception,2
drake_d:1916,1:epistemology,1
drake_d:1916,2:justification,2
drake_d:1917,1:perception,1
drake_d:1917,2:direct_realism,2
drake_d:1917,3:new_realism_in_perception,3
drake_d:1923,1:skepticism,1
drake_d:1925,1:metaphysics,1
drake_d:1925,2:realism,2
drake_d:1926a,1:mind_body,1
drake_d:1926a,2:neutral_monism,2
drake_d:1927,2:consciousness,2
drake_d:1928,1:science,1
drake_d:1928,2:experimentation,2
drake_d:1928,3:observation,3
drake_d:1929,1:complexity,1
drake_d:1929,2:monism,2
drake_d:1929,3:compositional_monism,3
drake_d:1931,1:ontology,1
drake_d:1931,2:being,2
drake_d:1931,3:to_be,3
drake_de-walters:2017,1:law,1
drake_de-walters:2017,3:criminology,3
drake_dh-scott:2021,1:law,1
drake_dh-scott:2021,3:punishment,3
drake_fr-truss:1987,1:logic,1
drake_fr:1974,1:mathematics,1
drake_fr:1974,2:set_theory,2
drake_j:2004,1:biology,1
drake_j:2017,1:epistemology,1
drake_j:2017,2:justification,2
drake_j:2018,1:epistemology,1
drake_j:2018,2:justification,2
drake_j:2018,3:factive_evidence,3
drake_m:1970,1:social_sciences,1
drake_s:2001,1:history_of_philosophy,1
drakengren-bjareland:1999,1:computation,1
drakengren-bjareland:1999,2:computability,2
drakengren-bjareland:1999,3:computational_complexity,3
drakengren-jonsson:1997,1:rationality,1
drakengren-jonsson:1997,2:temporal_reasoning,2
drakengren-jonsson:1998,1:rationality,1
drakengren-jonsson:1998,2:temporal_reasoning,2
drakos:1988,1:computation,1
drakos:1988,2:data,2
drakos:1988,3:truth_maintenance,3
drange:1964,1:language,1
drange:1966,1:linguistics,1
drange:1967,1:language,1
drange:1967,2:quotation,2
drange:1969,1:language,1
drange:1969,2:quotation,2
dranseika_v:2020,2:memory,2
drapeauvieiracontim-ludwig:2005,1:reference,1
drapeauvieiracontim-ludwig:2005,2:rigidity,2
drapeauvieiracontim:2010,1:identity,1
draper_d-etal:1994,1:probability,1
draper_d-etal:1994,2:probabilistic_reasoning,2
draper_d-hanks:1996,1:probability,1
draper_d-hanks:1996,2:probabilistic_reasoning,2
draper_k-etal:2007,1:religion,1
draper_k-etal:2007,2:arguments_for_the_existence_of_god,2
draper_k-etal:2007,3:fine_tuning,3
draper_k-pust:2008,1:probability,1
draper_k-pust:2008,2:sleeping_beauty,2
draper_k:2004,1:time,1
draper_k:2004,2:death,2
draper_k:2007,1:probability,1
draper_k:2007,2:sleeping_beauty,2
draper_k:2009,1:political_philosophy,1
draper_k:2012,1:time,1
draper_k:2012,2:death,2
draper_k:2013,1:probability,1
draper_k:2013,2:sleeping_beauty,2
draper_k:2013a,1:time,1
draper_k:2013a,2:death,2
draper_k:2013a,3:evil_of_death,3
draper_k:2016,1:social_philosophy,1
draper_k:2016,2:war,2
draper_k:2016,3:just_war,3
draper_k:2016a,1:political_philosophy,1
draper_k:2016a,2:war,2
draper_k:2017,1:probability,1
draper_k:2017,2:sleeping_beauty,2
draper_k:2017a,1:religion,1
draper_k:2017a,2:problem_of_evil,2
draper_k:2017a,3:double_effect,3
draper_p-schellenberg:2017,1:religion,1
draper_p-schellenberg:2017a,1:religion,1
draper_p-taliaferro:2010,1:religion,1
draper_p:1989,1:religion,1
draper_p:1989,2:problem_of_evil,2
draper_p:1989,3:theodicy,3
draper_p:1991,1:religion,1
draper_p:1991,2:arguments_for_the_existence_of_god,2
draper_p:1991,3:argument_from_design,3
draper_p:1992,1:religion,1
draper_p:1992,2:faith,2
draper_p:1996,1:religion,1
draper_p:1996,2:problem_of_evil,2
draper_p:1996a,1:religion,1
draper_p:1996a,2:problem_of_evil,2
draper_p:2002,1:epistemology,1
draper_p:2002,2:agnosticism,2
draper_p:2004,1:religion,1
draper_p:2004,2:arguments_for_the_existence_of_god,2
draper_p:2004,3:fine_tuning,3
draper_p:2004a,1:feeling,1
draper_p:2004a,2:pain,2
draper_p:2005,1:religion,1
draper_p:2009,1:religion,1
draper_p:2009,2:problem_of_evil,2
draper_p:2009a,1:religion,1
draper_p:2010,1:religion,1
draper_p:2010,2:arguments_for_the_existence_of_god,2
draper_p:2013,1:religion,1
draper_p:2013,2:theism,2
draper_p:2013,3:skeptical_theism,3
draper_p:2014,1:religion,1
draper_p:2014,2:theism,2
draper_p:2014a,1:religion,1
draper_p:2014a,2:theism,2
draper_p:2016,1:religion,1
draper_p:2016,2:atheism,2
draper_p:2016a,1:religion,1
draper_p:2019,1:religion,1
draper_p:2019a,1:religion,1
draper_p:2019a,2:problem_of_evil,2
draper_p:2019b,1:religion,1
draper_p:2019c,1:religion,1
draper_p:2019c,2:pantheism,2
draper_sw:1981,1:ai,1
draper_sw:1981,2:machine_reasoning,2
draper_sw:1981,3:line_drawings,3
drapkin-etal:1987,1:rationality,1
