bibkey,keyword_key,keyword_level
giacon_c:1981,1:history_of_philosophy,1
giambra_lm-grodsky:1991,2:imagery,2
giambra_lm:2000,2:dreaming,2
giambrone:1985,1:logic,1
giambrone:1985,2:relevance_logic,2
giampierideutsch:2012,1:psychology,1
giampierideutsch:2012,2:psychoanalysis,2
giampierideutsch:2021,1:psychology,1
giampierideutsch:2021,2:psychoanalysis,2
giampietro:2006,1:epistemology,1
giananti_a:2018,1:perception,1
giananti_a:2018,2:perceptual_content,2
giananti_a:2019,1:perception,1
giananti_a:2020,1:perception,1
giananti_a:2020,2:perceptual_content,2
giananti_a:2021,1:knowledge,1
giananti_a:2021,2:self_knowledge,2
giancola:2018,1:ethics,1
giancola:2018,2:environmental_ethics,2
gianformaggio_l:1997,1:law,1
giannakidou:1995,1:semantics,1
giannakidou:1995,2:polarity,2
giannakidou:1999,1:feeling,1
giannakidou:1999,2:emotions,2
giannakidou:2001,1:linguistics,1
giannakidou:2006,1:linguistics,1
giannakidou:2011,1:logic,1
giannakidou:2011,2:logical_connectives,2
giannakidou:2011,3:duality,3
giannantoni-vegetti:1984,1:science,1
giannantoni-vegetti:1984,2:history_of_science,2
giannantoni:1985,1:ethics,1
giannantoni:1991,1:history_of_philosophy,1
giannantoni:1992,1:history_of_philosophy,1
giannetto:1999,1:science,1
giannetto:1999,2:sociology_of_science,2
giannini_g-mumford:2021,1:complexity,1
giannini_g-mumford:2021,2:hylomorphism,2
giannini_g-mumford:2021,3:formal_causation,3
giannini_h:2018,1:feeling,1
giannini_h:2018,2:mercy,2
giannini_h:2018,3:forgiveness,3
giannoli-giaquinto:1991,1:representation,1
giannoli-giaquinto:1991,2:meaning,2
giannoni:1971,1:space_spacetime,1
giannoni:1971,2:relativity_theory,2
giannoni:1978,1:physics,1
giannoni:1978,2:mechanics,2
giannopoulou:2007,1:history_of_philosophy,1
giannopoulou:2010,1:ontology,1
giannopoulou:2010,2:matter,2
giannopoulou:2017,2:desire,2
giannotti_ja:2008,1:representation,1
giannotti_ja:2008,2:meaning,2
giannotti_k:2021,1:metaphysics,1
giannotti_k:2021,2:grounding,2
giaquinto_m:1984,1:science,1
giaquinto_m:2002,1:mathematics,1
giaquinto_m:2005,1:mathematics,1
giaquinto_m:2005,2:geometry,2
giaquinto_m:2005a,1:mathematics,1
giaquinto_m:2007,1:logic,1
giaquinto_m:2007,2:nature_of_proof,2
giaquinto_m:2008,1:logic,1
giaquinto_m:2008,2:nature_of_proof,2
giaquinto_m:2008,3:pictures_as_proofs,3
giaquinto_m:2008a,1:structuralism,1
giaquinto_m:2008a,2:mathematical_structuralism,2
giaquinto_m:2011,1:logic,1
giaquinto_m:2011,2:nature_of_proof,2
giaquinto_m:2015,1:mathematics,1
giaquinto_m:2015,2:nature_of_number,2
giard_a:1905,1:biology,1
giard_a:1905,2:life,2
giard_a:1905,3:vitalism,3
giard_l:1997,1:history_of_philosophy,1
giardina_gr:2000,1:mathematics,1
giardina_gr:2000,2:nature_of_number,2
giaretta-chiffi:2013,1:probability,1
giaretta-spolaore:2010,1:epistemology,1
giaretta-spolaore:2010,2:epistemic_logic,2
giaretta-spolaore:2010,3:fitch_s_paradox,3
giaretta-spolaore:2012,1:complexity,1
giaretta-spolaore:2012,2:metaphysics_of_parthood,2
giaretta-spolaore:2012,3:mereological_essentialism,3
giaretta:1997,1:language,1
giaretta:1997,2:logical_structure,2
giaretta:1997,3:logical_form,3
giaretta:2001,1:method,1
giaretta:2006,1:representation,1
giaretta:2006,2:objects_of_propositional_attitudes,2
giaretta:2006,3:propositions,3
giaretta:2009,1:medicine,1
giavarini_l:2010,1:religion,1
gibb-etal:2013,1:mind_body,1
gibb-etal:2013,2:mental_causation,2
gibb-etal:2019,2:emergence,2
gibb-etal:2019a,2:emergence,2
gibb:2004,1:properties,1
gibb:2007,1:properties,1
gibb:2007,2:higher_order_properties,2
gibb:2009,1:causation,1
gibb:2009,2:causal_closure,2
gibb:2009,3:causal_exclusion,3
gibb:2010,1:physics,1
gibb:2012,1:mind_body,1
gibb:2012,2:physicalism,2
gibb:2013,1:mind_body,1
gibb:2013,2:mental_causation,2
gibb:2013a,1:mind_body,1
gibb:2013a,2:mental_causation,2
gibb:2014,1:properties,1
gibb:2014,2:powers,2
gibb:2014a,1:mind_body,1
gibb:2014a,2:mental_causation,2
gibb:2014b,1:properties,1
gibb:2014b,2:determinate_determinable,2
gibb:2014b,3:realisation,3
gibb:2015,1:properties,1
gibb:2015,2:tropes,2
gibb:2015a,1:mind_body,1
gibb:2015a,2:dualism,2
gibb:2015c,1:causation,1
gibb:2015c,2:causal_closure,2
gibb:2019,1:causation,1
gibb:2019,2:causal_closure,2
gibbard_af-harper:1978,1:decision_theory,1
gibbard_af-harper:1978,2:newcomb_problem,2
gibbard_af:1971,1:ethics,1
gibbard_af:1971,2:metaethics,2
gibbard_af:1971,3:utilitarianism,3
gibbard_af:1973,1:ethics,1
gibbard_af:1973,2:metaethics,2
gibbard_af:1973,3:utilitarianism,3
gibbard_af:1973a,1:social_sciences,1
gibbard_af:1973a,2:social_choice_theory,2
gibbard_af:1974,1:economics,1
gibbard_af:1974,2:welfare,2
gibbard_af:1974,3:welfare_economics,3
gibbard_af:1975,1:identity,1
gibbard_af:1975,2:logic_of_identity,2
gibbard_af:1975a,1:probability,1
gibbard_af:1975a,2:probabilistic_reasoning,2
gibbard_af:1975a,3:probability_kinematics,3
gibbard_af:1976,1:political_philosophy,1
gibbard_af:1976,2:libertarianism,2
gibbard_af:1977,1:social_sciences,1
gibbard_af:1977,2:social_choice_theory,2
gibbard_af:1978,1:decision_theory,1
gibbard_af:1978,2:game_theory,2
gibbard_af:1978a,1:social_sciences,1
gibbard_af:1978a,2:social_choice_theory,2
gibbard_af:1978b,1:ethics,1
gibbard_af:1978b,2:metaethics,2
gibbard_af:1978b,3:utilitarianism,3
gibbard_af:1978c,1:decision_theory,1
gibbard_af:1978c,2:preference,2
gibbard_af:1979,1:social_sciences,1
gibbard_af:1979,2:social_choice_theory,2
gibbard_af:1981,1:language,1
gibbard_af:1981,2:indicative_conditionals,2
gibbard_af:1981a,1:language,1
gibbard_af:1981a,2:indicative_conditionals,2
gibbard_af:1982,1:ethics,1
gibbard_af:1982,2:metaethics,2
gibbard_af:1982,3:utilitarianism,3
gibbard_af:1982a,1:political_philosophy,1
gibbard_af:1982a,2:justice,2
gibbard_af:1983,1:rationality,1
gibbard_af:1984,1:ethics,1
gibbard_af:1984,2:metaethics,2
gibbard_af:1984,3:utilitarianism,3
gibbard_af:1985,1:ethics,1
gibbard_af:1985a,1:ethics,1
gibbard_af:1985b,1:ethics,1
gibbard_af:1986,1:decision_theory,1
gibbard_af:1986,2:preference,2
gibbard_af:1986,3:utility,3
gibbard_af:1986a,2:expressivism,2
gibbard_af:1986b,1:social_sciences,1
gibbard_af:1986b,2:social_choice_theory,2
gibbard_af:1987,1:social_sciences,1
gibbard_af:1987,2:social_choice_theory,2
gibbard_af:1988a,2:ought,2
gibbard_af:1990,1:ethics,1
gibbard_af:1990a,1:ethics,1
gibbard_af:1990a,2:metaethics,2
gibbard_af:1990a,3:utilitarianism,3
gibbard_af:1991,1:political_philosophy,1
gibbard_af:1991,2:justice,2
gibbard_af:1992,2:axiological_concepts,2
gibbard_af:1992,3:thick_concepts,3
gibbard_af:1992a,1:epistemology,1
gibbard_af:1992b,1:ethics,1
gibbard_af:1993a,2:expressivism,2
gibbard_af:1993b,2:expressivism,2
gibbard_af:1993c,2:expressivism,2
gibbard_af:1994,1:ethics,1
gibbard_af:1994a,1:representation,1
gibbard_af:1994a,2:meaning,2
gibbard_af:1996a,1:perception,1
gibbard_af:1996a,2:colours,2
gibbard_af:1998,1:decision_theory,1
gibbard_af:1998,2:preference,2
