bibkey,keyword_key,keyword_level
gjelsvik:1988,1:mind_body,1
gjelsvik:1988,2:physicalism,2
gjelsvik:1991,1:epistemology,1
gjelsvik:1997,1:truth,1
gjelsvik:1997,2:axiomatic_theories_of_truth,2
gjelsvik:1999,1:mind_body,1
gjelsvik:2002,1:probability,1
gjelsvik:2002,2:two_envelope_paradox,2
gjelsvik:2004,1:perception,1
gjelsvik:2004,2:perceptual_content,2
gjelsvik:2004,3:conceptual_content,3
gjelsvik:2007,1:epistemology,1
gjelsvik:2007,2:justification,2
gjelsvik:2007,3:reasons_for_belief,3
gjelsvik:2007a,1:causation,1
gjelsvik:2007a,2:causal_explanation,2
gjelsvik:2013,1:ethics,1
gjelsvik:2013,2:addiction,2
gjelsvik:2013a,1:metaphilosophy,1
gjelsvik:2013b,1:representation,1
gjelsvik:2013b,2:meaning,2
gjelsvik:2017,1:knowledge,1
gjelsvik:2017,2:knowing_how,2
gjelsvik:2018,1:pragmatics,1
gjelsvik:2018,2:lying,2
gjertsen:1993,2:psr,2
gjesdal_a:2018,1:ethics,1
gjesdal_a:2018,2:metaethics,2
gjesdal_a:2018,3:moral_sentimentalism,3
gjesdal_k:2007,1:political_philosophy,1
gjesdal_k:2008,1:history,1
gjesdal_k:2008,2:enlightenment,2
gjesdal_k:2009,1:history_of_philosophy,1
gjesdal_k:2010,1:science,1
gjesdal_k:2015,1:history,1
gjesdal_k:2016,1:truth,1
gjesdal_k:2016,2:consensus_theory_of_truth,2
gjesdal_k:2016a,1:aesthetics,1
gjesdal_k:2016a,2:fiction,2
gjesdal_k:2017,1:explanation,1
gjesdal_k:2017,2:understanding,2
gjesdal_k:2017,3:hermeneutics,3
gjesdal_k:2017a,1:social_sciences,1
gjesdal_k:2017a,2:anthropology,2
gjesdal_k:2017b,1:method,1
gjesdal_k:2017b,2:method_in_of_philosophy,2
gjesdal_k:2018,1:aesthetics,1
gjesdal_k:2018,2:literary_criticism,2
gjesdal_k:2019,1:explanation,1
gjesdal_k:2019,2:understanding,2
gjesdal_k:2019,3:hermeneutics,3
gjesdal_k:2020,1:metaphysics,1
gjesdal_k:2020,2:relativism,2
gjesdal_k:2021,1:history,1
