bibkey,keyword_key,keyword_level
hwa_r:2000,1:linguistics,1
hwa_r:2000,2:corpus_linguistics,2
hwang_ch-schubert:1993,1:ontology,1
hwang_ch-schubert:1993,2:events,2
hwang_ch-schubert:1994,1:time,1
hwang_ch-schubert:1994,2:tense_logic,2
hwang_hc-matsumoto:2016,1:feeling,1
hwang_hc-matsumoto:2016,2:emotions,2
hwang_jw:2011,1:perception,1
hwang_sjj-merrifield:1992,1:pragmatics,1
hwang_sjj-merrifield:1992,2:discourse,2
hwang_sjj-merrifield:1992,3:discourse_analysis,3
hwang_su:2001,1:metaphysics,1
hwang_su:2001,2:transcendental_deduction,2
