bibkey,keyword_key,keyword_level
irani_ks-myers:1983,1:feeling,1
irani_ks-myers:1983,2:emotions,2
irani_t:2017,1:history_of_philosophy,1
iranzo:2001,1:explanation,1
iranzo:2008,1:science,1
iranzo:2008,2:scientific_realism,2
iranzo:2009,1:metaphysics,1
iranzo:2009,2:empiricism,2
iranzo:2011,1:science,1
iranzo:2011,2:scientific_realism,2
iranzo:2014,1:explanation,1
iranzo:2014,3:semantic_view_of_models,3
irby_gl:2016,1:science,1
irby_gl:2016,2:history_of_science,2
ireland_jl-etal:2018,1:social_philosophy,1
ireland_jl-etal:2018,2:violence,2
iremadze-reinholdjeck:2018,1:history_of_philosophy,1
iremadze:2004,2:cognition,2
iremadze:2004,3:thinking,3
iribarne:1991,1:metaphysics,1
iribarne:1991,2:perspectivalism,2
iribarne:1991,3:intersubjectivity,3
iribarren_i-lenz:2008,1:religion,1
iribarren_i-lenz:2008,2:angels,2
iribarren_i-lenz:2008a,1:religion,1
iribarren_i-lenz:2008a,2:angels,2
iribarren_i:2001,1:history_of_philosophy,1
iribarren_i:2008,1:religion,1
iribarren_i:2008,2:angels,2
iribarren_i:2009,1:religion,1
iribarren_i:2009,2:god,2
iribarren_i:2009,3:christology,3
iribarren_i:2013,1:religion,1
iribarren_i:2013,2:angels,2
irigaray_ja:1999,1:mathematics,1
irigaray_ja:1999,2:history_of_mathematics,2
irigaray_l-marder:2015,1:political_philosophy,1
irigaray_l-marder:2015,2:feminism,2
irigaray_l:1977,1:persons,1
irigaray_l:1977,2:gender,2
irigaray_l:1984,1:political_philosophy,1
irigaray_l:1984,2:feminism,2
irigaray_l:1985,1:persons,1
irigaray_l:1985,2:gender,2
irigaray_l:1985a,1:political_philosophy,1
irigaray_l:1985a,2:feminism,2
irigaray_l:1989,1:feeling,1
irigaray_l:1989,2:friendship,2
irigaray_l:1989,3:love,3
irigaray_l:1993,1:social_philosophy,1
irigaray_l:1993a,1:political_philosophy,1
irigaray_l:1993a,2:feminism,2
irigaray_l:1993b,1:persons,1
irigaray_l:1993b,2:gender,2
irigaray_l:1996,1:political_philosophy,1
irigaray_l:1996,2:feminism,2
irigaray_l:1998,1:space_spacetime,1
irigaray_l:1998,2:nature_of_spacetime,2
irigaray_l:1998,3:space,3
irigaray_l:2001,1:social_philosophy,1
irigaray_l:2001,2:sex,2
irigaray_l:2001a,1:political_philosophy,1
irigaray_l:2001a,2:feminism,2
irigoin_j:1987,1:history_of_philosophy,1
irikefe:2022,1:method,1
irikefe:2022,2:conceptual_analysis,2
irish_j:1989,1:religion,1
irish_j:1989,2:immortality,2
irish_j:1989,3:resurrection,3
irlenborn:2010,1:religion,1
irlenborn:2010,2:religious_pluralism,2
irmak:2012,2:extrinsic_entities,2
irmak:2012,3:artefacts,3
irmak:2013,1:metaphysics,1
irmak:2013,2:metametaphysics,2
irmscher_hd:1964,1:history_of_philosophy,1
irmscher_j:1987,1:history_of_philosophy,1
irons_d:1895,1:feeling,1
irons_d:1895,2:emotions,2
irrera_e:2011,1:complexity,1
irrera_e:2011,2:hylomorphism,2
irrera_e:2011,3:formal_causation,3
irrera_e:2017,1:ethics,1
irrera_e:2017,2:applied_ethics,2
irrera_e:2017,3:food_ethics,3
irrgang:1996,1:ethics,1
irrgang:2011,1:science,1
irrgang:2011,2:technology,2
irrlitz:2015,1:history_of_philosophy,1
