bibkey,keyword_key,keyword_level
tversky_a-kahneman:1977,1:causation,1
tversky_a-kahneman:1977,2:causal_explanation,2
tversky_a-kahneman:1986,1:psychology,1
tversky_a-kahneman:1990,1:economics,1
tversky_a-kahneman:1990,2:expected_utility,2
tversky_a:1972,1:decision_theory,1
tversky_a:1972,2:decision_making,2
tversky_a:1975,1:economics,1
tversky_a:1975,2:existentialism,2
tversky_a:1977,1:decision_theory,1
tversky_a:1977,2:decision_analysis,2
tversky_a:1986,1:rationality,1
tversky_a:2004,1:decision_theory,1
tversky_a:2004,2:preference,2
tversky_b-hemenway:1984,1:complexity,1
tversky_b-hemenway:1984,2:metaphysics_of_parthood,2
tversky_b:1989,1:complexity,1
tversky_b:1989,2:metaphysics_of_parthood,2
tversky_b:1996,1:ai,1
tversky_b:1996,2:machine_reasoning,2
tversky_b:1996,3:spatial_language,3
tversky_b:2001,1:representation,1
tversky_b:2001,2:concepts,2
tversky_b:2001,3:conceptual_spaces,3
tversky_b:2005,1:argumentation,1
tversky_b:2005,2:informal_logic,2
