bibkey,keyword_key,keyword_level
ujvari:1984,1:persons,1
ujvari:1984,2:personal_identity,2
ujvari:1989,1:metaphysics,1
ujvari:1989,2:transcendental_idealism,2
ujvari:1993,1:method,1
ujvari:1993,2:transcendental_arguments,2
ujvari:1995,1:logic,1
ujvari:1995,2:entailment,2
ujvari:1995,3:logical_validity,3
ujvari:1997,1:religion,1
ujvari:1997,2:divine_attributes,2
ujvari:1997,3:divine_omniscience,3
ujvari:1999,1:vagueness,1
ujvari:1999a,1:vagueness,1
ujvari:2004,2:essence,2
ujvari:2004,3:natural_kind_essence,3
ujvari:2011,1:properties,1
ujvari:2011,2:internal_external_properties,2
ujvari:2012,1:modality,1
ujvari:2012,2:de_dicto_de_re,2
ujvari:2013,1:properties,1
ujvari:2013,2:tropes,2
ujvari:2013a,2:essence,2
ujvari:2014,1:complexity,1
ujvari:2014,2:mereology,2
