bibkey,keyword_key,keyword_level
urbach_b:1927,1:argumentation,1
urbach_b:1927,2:paradoxes,2
urbach_b:1927a,1:argumentation,1
urbach_b:1927a,2:paradoxes,2
urbach_p:1978,1:science,1
urbach_p:1978,2:scientific_realism,2
urbach_p:1978,3:scientific_progress,3
urbach_p:1985,1:history,1
urbach_p:1989,1:method,1
urbach_p:1989,2:scientific_method,2
urban_c:2004,1:logic,1
urban_c:2004,2:proof_theory,2
urban_hb:2016,1:religion,1
urban_l:1964,1:religion,1
urban_l:1964,2:theology,2
urban_m:2013,1:social_sciences,1
urban_m:2013,2:social_systems,2
urban_p-pucker:1979,1:science,1
urban_p-pucker:1979,2:history_of_science,2
urban_wm:1909,1:aesthetics,1
urban_wm:1909,2:make_believe,2
urban_wm:1917,2:nature_of_value,2
urban_wm:1938,1:metaphysics,1
urban_wm:1938,2:metametaphysics,2
urban_wm:1941,1:metaphysics,1
urban_wm:1949,1:language,1
urbanas:1992,2:essence,2
urbaniak-haemaeri:2012,1:explanation,1
urbaniak-haemaeri:2012,2:definition,2
urbaniak:2008,1:truth,1
urbaniak:2008,2:semantic_paradoxes,2
urbaniak:2008a,1:time,1
urbaniak:2008a,2:time_travel,2
urbaniak:2009,1:representation,1
urbaniak:2009,2:aboutness,2
urbaniak:2011,1:mathematics,1
urbaniak:2011,2:nature_of_mathematics,2
urbaniak:2011,3:mathematical_platonism,3
urbaniak:2012,1:mathematics,1
urbaniak:2012,2:nature_of_mathematics,2
urbaniak:2012,3:mathematical_nominalism,3
urbaniak:2012a,1:method,1
urbaniak:2012a,2:thought_experiments,2
urbaniak:2014,1:ontology,1
urbaniak:2014,2:quantification,2
urbaniak:2014,3:plural_quantification,3
urbaniak:2014a,1:complexity,1
urbaniak:2014a,2:mereology,2
urbaniulivi:2004,1:persons,1
urbaniulivi:2004,2:self,2
urbanski:2001,1:logic,1
urbanski:2001,2:natural_deduction,2
urbanski:2002,1:logic,1
urbanski:2002,2:natural_deduction,2
urbanski:2004,1:logic,1
urbanski:2004,2:negation,2
urbanski:2011,1:logic,1
urbanski:2011,2:paraconsistent_logic,2
urbas_i:1988,1:logic,1
urbas_i:1988,2:paraconsistent_logic,2
urbas_i:1996,1:logic,1
urbas_i:1996,2:intuitionistic_logic,2
urbich_j-zimmer:2020,1:ontology,1
urbinati_n:2002,1:political_philosophy,1
urbinati_n:2002,2:democracy,2
urbinati_n:2013,1:political_philosophy,1
urchs:1994,1:causation,1
urchs:1994a,1:explanation,1
urchs:1994a,2:because,2
urchs:1994b,1:truth,1
urchs:1994b,2:excluded_middle,2
urchs:1994b,3:non_contradiction,3
urchs:1994c,1:causation,1
urchs:1994d,1:causation,1
urchs:1996,1:causation,1
urchs:1997,1:time,1
urchs:1997,2:persistence,2
urchs:1997a,1:causation,1
urchs:1998,1:logic,1
urchs:1998,2:applied_logic,2
urchs:1999,1:logic,1
urchs:1999,2:paraconsistent_logic,2
urchs:2000,1:ontology,1
urchs:2000,2:events,2
urchs:2001,1:causation,1
urchs:2001a,1:metaphilosophy,1
urchs:2001b,1:causation,1
urchs:2001c,1:logic,1
urchs:2001c,2:paraconsistent_logic,2
urchs:2006,1:pragmatics,1
urchs:2006,2:lying,2
urchs:2014,1:computation,1
urchs:2014,2:computability,2
urchs:2014,3:computational_complexity,3
ure_m:2016,1:history_of_philosophy,1
urfalino:2012,1:action,1
urfalino:2012,2:collective_action,2
urfalino:2012,3:collective_deliberation,3
uriagereka:1998,1:linguistics,1
uriagereka:1998,2:syntax,2
uribeetxebarria:1995,1:semantics,1
uribeetxebarria:1995,2:polarity,2
urkia:2006,2:intentionality,2
urmson_c-etal:2009,1:ai,1
urmson_c-etal:2009,2:robotics,2
urmson_jo-etal:1969,1:metaphilosophy,1
urmson_jo:1947,1:metaphysics,1
