bibkey,keyword_key,keyword_level
vrahimis_a:2012,1:metaphysics,1
vrahimis_a:2012,2:idealism,2
vrahimis_a:2013,1:metaphilosophy,1
vrahimis_a:2013,2:analytic_continental_philosophy,2
vrahimis_a:2013a,1:metaphilosophy,1
vrahimis_a:2013a,2:analytic_continental_philosophy,2
vrahimis_a:2015,1:pragmatics,1
vrahimis_a:2015,2:speech_acts,2
vranas:2000,1:time,1
vranas:2000,2:time_travel,2
vranas:2004,1:probability,1
vranas:2004,2:nature_of_probability,2
vranas:2004,3:objective_chance,3
vranas:2005,2:character,2
vranas:2005a,1:time,1
vranas:2005a,2:time_travel,2
vranas:2007,2:ought,2
vranas:2007,3:ought_implies_can,3
vranas:2009,1:time,1
vranas:2009,2:time_travel,2
vranas:2010,2:deontic_logic,2
vranas:2010,3:imperative_logic,3
vranas:2010a,1:time,1
vranas:2010a,2:direction_of_time,2
vranas:2011,2:deontic_logic,2
vranas:2011,3:imperative_logic,3
vranas:2016,2:deontic_logic,2
vranas:2016,3:imperative_logic,3
vranas:2017,1:representation,1
vranas:2017,2:aboutness,2
vranas:2018,1:political_philosophy,1
vranas:2018,2:authority,2
vranas:2018,3:political_obligation,3
vranicki_p:1979,1:political_philosophy,1
vranicki_p:1979,2:marxism,2
vranicki_p:1979,3:praxis,3
vrcan_s:1979,1:political_philosophy,1
vrcan_s:1979,2:marxism,2
vrcan_s:1979,3:praxis,3
vredenburgh:2021,1:economics,1
vreeswijk:1991,1:epistemology,1
vreeswijk:1991,2:epistemic_logic,2
vreeswijk:1991,3:autoepistemic_logic,3
vreeswijk:1991a,1:logic,1
vreeswijk:1991a,2:nonmonotonic_logic,2
vreeswijk:1991a,3:default_logic,3
vreeswijk:1993,1:rationality,1
vreeswijk:1993,2:belief_revision,2
vreeswijk:1993,3:nonmonotonic_reasoning,3
vreeswijk:1997,1:logic,1
vreeswijk:1997,2:nonmonotonic_logic,2
vreeswijk:2005,1:science,1
vreeswijk:2005,2:theories,2
vrendenduin:1953,1:mathematics,1
vrendenduin:1953,2:intuitionistic_mathematics,2
vrijen:2006,1:history_of_philosophy,1
vrijenhoek_r:1995,1:animals,1
vrijenhoek_r:1995,2:animal_ethics,2
vrolijk_a-hogendijk:2007,1:history_of_philosophy,1
vromen_j:2003,1:action,1
vromen_j:2003,2:intention,2
vromen_j:2003,3:joint_intentions,3
vromen_j:2009,1:economics,1
vromen_j:2012,1:economics,1
vromen_j:2021,1:economics,1
vromen_s:1989,1:social_sciences,1
vromen_s:1989,2:sociology,2
vrousalis:2011,1:political_philosophy,1
vrousalis:2016,1:ethics,1
vrousalis:2016,2:population_ethics,2
vrousalis:2016,3:future_generations,3
