source_key,target_key,ref_type
aalbers:2016,springer_s-etal:2016,depends_on
aalders-deblois:1992,haase_w:1992,depends_on
aaltola_e:2019,martin_am:2019,depends_on
aanderaa:1971,fenstad:1971,depends_on
aarnes:1991,tymieniecka:1991a,depends_on
aarnio_a:1984,peczenik-etal:1984,depends_on
aarnio_a:1997,garzonvaldes-etal:1997,depends_on
aarnio_a:1999,meggle:1999,depends_on
aaron_ri-etal:1961,hersch_j:1961,further_ref
aaron_ri-etal:1961,marias:1961,further_ref
aaron_ri:1956a,lewis_hd:1956,depends_on
aaronson_bs:1971,fraser_jt-etal:1972,further_ref
aars:1905,claparede:1905,depends_on
aars:1909,elsenhans:1909,depends_on
aarsleff:1994,chappell_vc:1994,depends_on
aarsleff:2006,haakonssen:2006a,depends_on
aas-wasserman:2017,fourie-rid:2017,depends_on
abaci:2013,bacin-etal:2013d,depends_on
abaci:2018,waibel_vl-etal:2018d,depends_on
abad_jv-martinezfernandez:2009,goldstein_l:2000,further_ref
abad_jv:2009,gupta_a:2006,further_ref
abasnezhad_a-hosseini:2014,akiba-anasnezhad:2014,depends_on
abath_aj:2017,deroy:2017,depends_on
abattouy_m:2002,leijenhorst-etal:2002,depends_on
abb-etal:1996,adorni-zock:1996,depends_on
abbate_c:2020,fischer_b:2020,depends_on
abbate_c:2022,midwest:2022,depends_on
abbate_m:2006,perkams-piccione:2006,depends_on
abbate_m:2007,lisi_fl:2007,depends_on
abbati-mania:1981,beltrametti-vanfraassen:1981,depends_on
abbattista:2021,kronfeldner:2021,depends_on
abbey_a-etal:1996,buss_dm-malamuth:1996,depends_on
abbey_r:2004a,abbey_r:2004,depends_on
abbey_r:2006,shand_j:2006a,depends_on
abbey_r:2013a,abbey_r:2013,depends_on
abbott_a:1990,cook_ks-levi:1990,depends_on
abbott_a:1990,stinchcombe:1990,further_ref
abbott_b-hudson:1981,sampson_g:1981,further_ref
abbott_b:2006,birner_bj-ward:2006,depends_on
abbott_b:2011,maienborn-etal:2011,depends_on
abbott_b:2012,russell_gi-fara:2012,depends_on
abbott_b:2013,phil-perspectives:2013,depends_on
abbott_b:2014,gamerschlag-etal:2014,depends_on
abbott_b:2017,huang_y:2017,depends_on
abbri:1994,poggi_s-bossi:1994,depends_on
abbruzzese:2007,cunning:2003,further_ref
abdallah:2008,winter_t:2008,depends_on
abdelhaleem:2008,winter_t:2008,depends_on
abdelnabi-charlton:2014,grimshaw_ma:2014,depends_on
abdolmohammadi-nixon:1999,frederick_r:1999,depends_on
abdoo:1984,tymieniecka:1984a,depends_on
abdoo:1985,tymieniecka:1985,depends_on
abdoo:1988,tymieniecka:1988,depends_on
abdoo:1990,tymieniecka:1990a,depends_on
abdoo:1992,tymieniecka:1992,depends_on
abdoo:1995,tymieniecka:1995,depends_on
abdoo:1997,tymieniecka:1997a,depends_on
abdullallah:1925,dellavalle_g:1925,depends_on
abe_fu:1998,tymieniecka-matsuba:1998,depends_on
abeille:2006,bonami-cabredohofherr:2006,depends_on
abel_ab:1991,eatwell-etal:1991,depends_on
abel_c:2013,bhatt_r:2013,depends_on
abel_g:1996,abel_g-sandkuehler:1996,depends_on
abel_g:1997,meggle:1997a,depends_on
abel_g:2011,gethmann:2011,depends_on
abel_g:2012,abel_g-conant:2012,depends_on
abel_r:1969,hook_s:1969,depends_on
abela:2005,bird_g:2005,depends_on
abela:2012,baiasu_r-etal:2012,depends_on
abela:2013,meister_c-copan:2013,depends_on
abela:2015,gardner_s-grist:2015,depends_on
abeles_ff-moktefi:2016,moktefi-abeles:2016,depends_on
abeles_m:1994,domany-etal:1994a,depends_on
abell_c-bantinaki:2010a,abell_c-bantinaki:2010,depends_on
abell_c-smith:2016a,abell_c-smith:2016,depends_on
abell_c:2010a,abell_c-bantinaki:2010,depends_on
abelson_h-etal:1989,weld_ds-dekleer:1990,further_ref
abelson_r:1960,hook_s:1960,depends_on
abelson_r:1969,hook_s:1969,depends_on
abelson_r:1977,hare_p-madden:1975,further_ref
aberdeen-etal:1999,alexandersson:1999,depends_on
aberdein_a-read:2009,haaparanta:2009,depends_on
aberdein_a:2006,bilkova-tomala:2006,depends_on
aberdein_a:2007,vankerkhove-vanbendegem:2007,depends_on
aberdein_a:2021,alfano-etal:2021,depends_on
aberg_c:1974a,stenlund:1974,depends_on
aberg_c:1989,allen_s:1989,depends_on
aberg_c:1989,bell_js:1989,further_ref
aberg_y:2009,hedstroem_p-bearman:2009,depends_on
abernathy_r:1961,jakobson:1961,depends_on
abers_es-kennel:1975,henderson_ja:1975,further_ref
abers_es-kennel:1975,westman_rs:1975,depends_on
abert_h:1984,andersson_g:1984,depends_on
aberth:1970,kino-etal:1970,depends_on
abeysinghe-huq:2016,heyward_c-roser:2016,depends_on
abiko:2000,bourgeois_b-havet:2000,depends_on
abiram:1986,gutmannrosenkrantz:1986,further_ref
abiram:1986,ullmannmargalit:1986a,depends_on
ablondi:2002,kelly_sd:1998,further_ref
abney_k:2013,allhoff-etal:2013,depends_on
abney_s:1996,klavans-resnik:1996,depends_on
abney_s:2002,sampson_g:2001,further_ref
abney_s:2002a,scott_dr-badia:2002,depends_on
aboh-degraff:2016,roberts_i:2016,depends_on
abolitionradio:2021,coyle_mj-scott:2021,depends_on
abouharb:2012,cushman_t:2012,depends_on
aboulafia:2004,marsoobian-ryder:2004,depends_on
aboulafia:2006,shook-margolis:2006,depends_on
abounemeh:2014,nachtomy-smith:2014,depends_on
abraham_ma:1912,renn_j-schemmel:2007,depends_on
abraham_ma:1912a,renn_j-schemmel:2007,depends_on
abraham_ma:1913,renn_j-schemmel:2007,depends_on
abraham_ma:1915,renn_j-schemmel:2007,depends_on
abraham_th:2019,sprevak-colombo:2019,depends_on
abraham_we:1974,moyal_gjd:1991a,further_ref
abraham_we:1991,boudouris_kj:1991,depends_on
abraham_wj:2009,crisp_od-rea:2009,depends_on
abraham_wj:2009a,abraham_wj:1981,further_ref
abraham_wj:2009a,rea_mc:2009b,depends_on
