id,institution_key,name_latex,name_unicode,default_address
1,working_papers_ucla_linguistics_department,"Working Papers, {UCLA} Linguistics Department","Working Papers, UCLA Linguistics Department",
2,gruppo_dima_sviluppo_di_sistimi_linguistica_computazionale_torino,"Gruppo Dima, Sviluppo di Sistimi Linguistica Computazionale, Torino","Gruppo Dima, Sviluppo di Sistimi Linguistica Computazionale, Torino",
3,nasa_langley_research_center,NASA Langley Research Center,NASA Langley Research Center,
4,department_of_computer_science_brown_university,"Department of Computer Science, Brown University","Department of Computer Science, Brown University",
5,department_of_computer_science_stanford_university,"Department of Computer Science, Stanford University","Department of Computer Science, Stanford University",
6,computer_science_department_columbia_university,"Computer Science Department, Columbia University","Computer Science Department, Columbia University",
7,center_for_cognitive_science_massachusetts_institute_of_technology,"Center for Cognitive Science, Massachusetts Institute of Technology","Center for Cognitive Science, Massachusetts Institute of Technology",
8,advanced_computational_research_center_university_of_georgia,"Advanced Computational Research Center, University of Georgia","Advanced Computational Research Center, University of Georgia",
9,fachbereich_informatik_universit_a_t_kaiserslautern,"Fachbereich Informatik, Universit{\""a}t Kaiserslautern","Fachbereich Informatik, Universität Kaiserslautern",
10,mitre_corporation,Mitre Corporation,Mitre Corporation,
11,csli_publications,{CSLI} Publications,CSLI Publications,
12,computer_science_department_brown_university,"Computer Science Department, Brown University","Computer Science Department, Brown University",
13,yale_university,Yale University,Yale University,
14,york_college,York College,York College,
15,department_of_mathematics_university_of_oslo,"Department of Mathematics, University of Oslo","Department of Mathematics, University of Oslo",
16,forschungsstelle_f_u_r_nat_u_rlich_sprachliche_systeme_universit_a_t_t_u_bingen,"Forschungsstelle f{\""u}r nat{\""u}rlich-Sprachliche Systeme, Universit{\""a}t T{\""u}bingen","Forschungsstelle für natürlich-Sprachliche Systeme, Universität Tübingen",
17,institut_f_u_r_algorithmen_und_kognitive_systeme_fakult_a_t_f_u_r_informatik_universit_a_t_karlsruhe,"Institut f{\""u}r Algorithmen und Kognitive Systeme, Fakult{\""a}t f{\""u}r Informatik, Universit{\""a}t Karlsruhe","Institut für Algorithmen und Kognitive Systeme, Fakultät für Informatik, Universität Karlsruhe",
18,fakulteit_wiskunde_en_informatica_vrije_universiteit_amsterdam,"Fakulteit Wiskunde en Informatica, Vrije Universiteit Amsterdam","Fakulteit Wiskunde en Informatica, Vrije Universiteit Amsterdam",
19,university_of_colorado_at_boulder_department_of_computer_science,"University of Colorado at Boulder, Department of Computer Science","University of Colorado at Boulder, Department of Computer Science",
20,ai_center_sri_center_international,"AI Center, SRI Center International","AI Center, SRI Center International",
21,department_of_computer_science_state_university_of_new_york_at_stony_brook,"Department of Computer Science, State University of New York at Stony Brook","Department of Computer Science, State University of New York at Stony Brook",
22,sri_international,{SRI} International,SRI International,
23,information_sciences_institute,Information Sciences Institute,Information Sciences Institute,
24,university_of_minnesota_institute_of_technology_computer_science_dept,"University of Minnesota, Institute of Technology, Computer Science Dept.","University of Minnesota, Institute of Technology, Computer Science Dept.",
25,zif,ZIF,ZIF,
26,department_of_computer_science_wayne_state_university,"Department of Computer Science, Wayne State University","Department of Computer Science, Wayne State University",
27,ibm_research_division,IBM Research Division,IBM Research Division,
28,nasa_ames_research_center,{NASA} Ames Research Center,NASA Ames Research Center,
29,department_of_computer_science_university_of_western_ontario,"Department of Computer Science, University of Western Ontario","Department of Computer Science, University of Western Ontario",
30,carnegie_institute_of_technology,Carnegie Institute of Technology,Carnegie Institute of Technology,
31,institut_national_de_recherche_en_informatique_et_en_automatique,Institut National de Recherche en Informatique et en Automatique,Institut National de Recherche en Informatique et en Automatique,
32,lund_university_cognitive_studies,Lund University Cognitive Studies,Lund University Cognitive Studies,
