id,series_key,name_latex,name_unicode
1,biblioth_e_que_litt_e_raire_de_la_renaissance_s_e_rie_3,"Biblioth{\`e}que litt{\'e}raire de la Renaissance, s{\'e}rie 3","Bibliothèque littéraire de la Renaissance, série 3"
2,dialogikon,Dialogikon,Dialogikon
3,routledge_studies_in_eighteenth_century_philosophy,Routledge Studies in Eighteenth-Century Philosophy,Routledge Studies in Eighteenth-Century Philosophy
4,histoire_et_perspectives_m_e_diterran_e_ennes,Histoire et perspectives m{\'e}diterran{\'e}ennes,Histoire et perspectives méditerranéennes
5,collection_beauchesne,Collection Beauchesne,Collection Beauchesne
6,imaginaire_pluriel,Imaginaire pluriel,Imaginaire pluriel
7,archiv_f_u_r_begriffsgeschichte_sonderheft,"Archiv f{\""u}r Begriffsgeschichte, Sonderheft","Archiv für Begriffsgeschichte, Sonderheft"
8,folio_essais,Folio Essais,Folio Essais
9,l_univers_des_normes,L'univers des normes,L'univers des normes
10,arthur_schopenhauers_werke_in_f_u_nf_b_a_nden,"Arthur Schopenhauers Werke in f{\""u}nf B{\""a}nden",Arthur Schopenhauers Werke in fünf Bänden
11,penser_le_droit,Penser le droit,Penser le droit
12,longman_linguistic_library,longman linguistic library,longman linguistic library
13,perspektiven_der_ethik,Perspektiven der Ethik,Perspektiven der Ethik
14,studies_in_linguistics_and_philosophy,Studies in Linguistics and Philosophy,Studies in Linguistics and Philosophy
15,metaphysical_research,Metaphysical Research,Metaphysical Research
16,storia_e_letteratura,Storia e Letteratura,Storia e Letteratura
17,midrash,Midrash,Midrash
18,ethics_of_science_and_technology_assessment,Ethics of Science and Technology Assessment,Ethics of Science and Technology Assessment
19,palgrave_studies_in_the_future_of_humanity_and_its_successors,Palgrave Studies in the Future of Humanity and its Successors,Palgrave Studies in the Future of Humanity and its Successors
20,key_contemporary_thinkers,Key Contemporary Thinkers,Key Contemporary Thinkers
21,studies_in_marxism_and_social_theory,Studies in Marxism and Social Theory,Studies in Marxism and Social Theory
22,foundations_of_business_ethics,Foundations of Business Ethics,Foundations of Business Ethics
23,cin_e_ma_et_philosophie,Cin{\'e}ma et philosophie,Cinéma et philosophie
24,akan_einzelschriften,AKAN Einzelschriften,AKAN Einzelschriften
25,biblioth_e_que_du_naturaliste_la,Biblioth{\'e}que du naturaliste (la),Bibliothéque du naturaliste (la)
26,a_propos,A propos,A propos
27,non_non,Non \& non,Non & non
28,gesammelte_werke_ii_abteilung_lateinische_schriften,"Gesammelte Werke, II.~Abteilung; Lateinische Schriften","Gesammelte Werke, II. Abteilung; Lateinische Schriften"
29,consciousness_and_emotion_book_series,Consciousness and Emotion Book Series,Consciousness and Emotion Book Series
30,intervention_philosophique,Intervention philosophique,Intervention philosophique
31,schriften_zum_strafrecht,Schriften zum Strafrecht,Schriften zum Strafrecht
32,manchester_studies_in_religion_culture_and_gender,"Manchester Studies in Religion, Culture and Gender","Manchester Studies in Religion, Culture and Gender"
33,ver_o_ffentlichungen_der_brentano_gesellschaft,"Ver{\""o}ffentlichungen der Brentano-Gesellschaft",Veröffentlichungen der Brentano-Gesellschaft
34,psychology_in_progress,Psychology in Progress,Psychology in Progress
35,publicazioni_dell_universit_a_di_ferrara,Publicazioni dell'Universit{\`a} di Ferrara,Publicazioni dell'Università di Ferrara
36,synthese_language_library,Synthese Language Library,Synthese Language Library
37,routledge_studies_in_metaphysics,Routledge Studies in Metaphysics,Routledge Studies in Metaphysics
38,esth_e_tiques,Esth{\'e}tiques,Esthétiques
39,the_annals_of_the_new_york_academy_of_science,The Annals of the New York Academy of Science,The Annals of the New York Academy of Science
40,foundations_of_language_supplementary_series,Foundations of Language; Supplementary Series,Foundations of Language; Supplementary Series
41,histoire_plurielle,Histoire plurielle,Histoire plurielle
42,studies_in_philosphy_and_the_history_of_philosophy,Studies in Philosphy and the History of Philosophy,Studies in Philosphy and the History of Philosophy
43,travaux_du_centre_de_recherches_s_e_miologiques,Travaux du Centre de Recherches S{\'e}miologiques,Travaux du Centre de Recherches Sémiologiques
44,vocabulaire_de_dots,Vocabulaire de \dots,Vocabulaire de …
45,metaphysik_und_ontologie,Metaphysik und Ontologie,Metaphysik und Ontologie
46,geist_und_geschichte,Geist und Geschichte,Geist und Geschichte
47,cahiers_de_philosophie_de_l_universit_e_de_caen,Cahiers de philosophie de l'Universit{\'e} de Caen,Cahiers de philosophie de l'Université de Caen
48,musique_philosophie,Musique Philosophie,Musique Philosophie
49,le_champ_e_thique,Le Champ {\'e}thique,Le Champ éthique
50,questions_de_vie,Questions de vie,Questions de vie
51,philo_philosophes,Philo-philosophes,Philo-philosophes
52,recherches_et_documents_am_e_riques_latines,Recherches et documents Am{\'e}riques Latines,Recherches et documents Amériques Latines
53,philosophie_politique,Philosophie \& Politique,Philosophie & Politique
54,mind_knowledge_communication,Mind Knowledge Communication,Mind Knowledge Communication
55,chemins_philosophiques,Chemins Philosophiques,Chemins Philosophiques
56,dimensions_of_philosophy_series,Dimensions of Philosophy Series,Dimensions of Philosophy Series
57,pratiques_et_enjeux_p_e_dagogiques,Pratiques et enjeux p{\'e}dagogiques,Pratiques et enjeux pédagogiques
58,islamic_philosophy_and_theology_texts_and_studies,Islamic Philosophy and Theology.~Texts and Studies,Islamic Philosophy and Theology. Texts and Studies
59,new_problems_of_philosophy,New Problems of Philosophy,New Problems of Philosophy
60,l_apr_e_s_d_e_veloppement,L'apr{\'e}s-d{\'e}veloppement,L'aprés-développement
61,fondo_di_studi_parini_chirio_universit_a_degli_studi_di_torino_filosofia,Fondo di studi Parini-Chirio.~Universit{\`a} degli Studi di Torino.~Filosofia,Fondo di studi Parini-Chirio. Università degli Studi di Torino. Filosofia
62,les_petites_pommes_du_savoir,Les petites pommes du savoir,Les petites pommes du savoir
63,palgrave_studies_in_comparative_east_west_philosophy,Palgrave Studies in Comparative East-West Philosophy,Palgrave Studies in Comparative East-West Philosophy
64,studi_e_testi_per_la_storia_della_tolleranza_in_europa_nei_secoli_xvi_xviii,Studi e testi per la storia della tolleranza in Europa nei secoli XVI-XVIII,Studi e testi per la storia della tolleranza in Europa nei secoli XVI-XVIII
65,problemata,Problemata,Problemata
66,recherches_et_d_e_bats,Recherches et d{\'e}bats,Recherches et débats
67,warwick_series_in_the_humanities,Warwick Series in the Humanities,Warwick Series in the Humanities
